corner_type,position,x,y
a,a,417.00, 753.00
a,a,1485.00, 762.00
a,a,1497.00, 192.00
a,a,414.00, 186.00
a,a,483.00, 867.00
a,a,1416.00, 870.00
a,a,1416.00, 96.00
a,a,495.00, 87.00
